Stkcd,alpha,MKT,SMB,HML
000012,2.43047344348254e-18,1.45993363359879,0.765345340987807,0.527474465570807
000022,1.4812366551894e-18,1.62088068061962,-0.0456610229679259,-0.438793749184609
000026,5.93323642883615e-18,1.02633664270611,0.432965380855231,-1.04563724832137
000027,1.05342829459499e-18,1.00148802659105,0.395876611368921,0.139444338875026
000028,4.67199016595658e-19,0.652406189647601,-0.841352358194692,-1.04693263625411
000030,1.81786200728861e-18,1.19358385027134,0.0113658676660541,-0.332520665981784
000046,4.65784673920125e-19,0.923961001030727,-0.0285680005725853,-0.0568042584442399
000049,1.70712152063272e-19,1.11893952272263,-0.582307763684458,-1.44124968985974
000055,2.10689020705234e-18,0.990606834657663,0.36717983401246,-0.442607577201821
000059,-4.69967632692896e-19,1.39886956633162,0.736547705390622,0.612001485693287
000070,3.3904223266134e-18,1.04417894364278,0.0514044430858498,-0.869247374059654
000089,1.9142012892193e-19,1.0016060168377,-0.0983644276418581,-0.0739693522344017
000151,4.05568608532086e-18,0.975181957304723,1.46864030918073,0.417814751903604
000156,1.26884383921327e-18,0.957483608604195,0.0545932221924312,-0.629732408506551
000333,9.92281080547882e-20,1.28413016478727,-1.39616169267757,-0.79007378264256
000338,1.41589345566199e-18,1.47926752625298,-0.119695095205538,0.257621198827218
000400,1.04199187233987e-19,1.12912310219964,0.426503791088443,-0.10243485402248
000417,1.02339929699993e-18,1.1817495373213,0.303994208281375,-0.0662309797976277
000418,-5.77919134153542e-19,0.849160812088725,-1.10146402099669,-0.726362510477718
000421,6.53839305639693e-19,1.0521746129862,0.418224941221874,-0.470453461077927
000423,1.32532154106585e-18,1.08798617256098,-1.67451646325255,-1.56225068373078
000498,9.73748710150527e-19,1.54788277339732,0.487996727194729,0.71076835854652
000521,-7.42496823935919e-19,1.46232801039723,-0.196197266582239,-0.705011428077896
000530,5.8940657851239e-19,0.718776634003297,1.0786304858514,0.306988089033132
000532,-1.55161015158149e-19,1.11116484909253,0.99830742588004,-0.253910468983445
000545,1.06832702841648e-18,1.12808448133234,0.566829655847505,-0.503380092297221
000546,-1.91249370192945e-18,1.52012046152987,0.381248998261998,-0.0431347650267221
000550,1.86078024607178e-18,1.0660175970676,0.0422925225172592,0.0895415314239892
