MarkettypeID	TradingDate	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2
P9707	2018-04-09	-.009031	-.008031	.002639	.002021	-.010347	-.009792
P9709	2018-04-09	.000969	.001969	.001012	.002952	.001246	.002390
P9710	2018-04-09	.000969	.000969	.000931	.002877	.000925	.002149
P9705	2018-04-04	-.014031	-.013031	.007478	.008132	.000355	-.002063
P9706	2018-04-04	-.003031	-.003031	-.000883	-.000916	-.001289	-.000642
P9707	2018-04-04	-.000031	-.000031	.004159	.003845	-.006581	-.006894
P9709	2018-04-04	-.004031	-.004031	-.001568	-.001497	.000255	.001122
P9710	2018-04-04	-.004031	-.004031	-.001607	-.001466	-.000192	.000968
P9705	2018-04-03	-.012031	-.010031	.004884	.005417	.004937	.003614
P9706	2018-04-03	-.008031	-.008031	-.002069	-.001227	-.001558	-.001498
P9707	2018-04-03	-.007031	-.007031	.002433	.001500	-.010096	-.008254
P9709	2018-04-03	-.008031	-.008031	-.001743	-.000836	-.000547	-.000453
P9710	2018-04-03	-.008031	-.008031	-.001492	-.000635	-.000954	-.000787
P9705	2018-04-02	.003969	.004969	.006681	.009069	.000079	-.000087
P9706	2018-04-02	-.003031	-.002031	.004371	.004804	-.003973	-.003873
P9707	2018-04-02	.000969	.000969	.000945	.001080	-.003426	-.001354
P9709	2018-04-02	-.003031	-.002031	.005282	.005814	-.004112	-.004078
P9710	2018-04-02	-.003031	-.002031	.005363	.005898	-.004100	-.004103
P9705	2018-03-30	.031969	.032969	.000110	.002254	-.001276	-.002270
P9706	2018-03-30	.002969	.003969	.007156	.007851	-.008640	-.008148
P9707	2018-03-30	.006969	.006969	-.000712	-.000944	-.007060	-.006508
P9709	2018-03-30	.003969	.006969	.009647	.010377	-.011076	-.011467
P9710	2018-03-30	.004969	.006969	.009472	.010286	-.010955	-.011270
P9705	2018-03-29	.003969	.003969	.004887	.005376	-.001597	-.001204
P9706	2018-03-29	.013969	.013969	-.001713	-.001483	.006549	.005763
P9707	2018-03-29	.006969	.006969	-.000605	.000605	.001618	.001471
P9709	2018-03-29	.013969	.012969	-.002102	-.001921	.006793	.006281
P9710	2018-03-29	.013969	.012969	-.002102	-.001919	.006710	.006230
P9705	2018-03-28	-.001031	-.001031	.010821	.010037	.006219	.003609
P9706	2018-03-28	-.014031	-.014031	.007292	.007349	.005307	.005019
P9707	2018-03-28	-.010031	-.009031	.007961	.008010	-.004981	-.003177
P9709	2018-03-28	-.013031	-.013031	.009444	.009621	.003422	.002488
P9710	2018-03-28	-.013031	-.013031	.009526	.009708	.003067	.002295
P9705	2018-03-27	.036969	.036969	.001754	.002770	.000296	.000395
P9706	2018-03-27	.010969	.012969	.013064	.012401	-.009948	-.010485
P9707	2018-03-27	.010969	.010969	.008407	.008048	.002271	.002147
P9709	2018-03-27	.011969	.014969	.014103	.013533	-.011643	-.012531
P9710	2018-03-27	.011969	.013969	.014046	.013497	-.011455	-.012328
P9705	2018-03-26	.032969	.032969	-.004862	-.002292	-.001763	-.001863
P9706	2018-03-26	-.007031	-.004031	.010267	.008704	-.013715	-.014560
P9707	2018-03-26	-.000031	.000969	.000738	.000297	-.004165	-.003824
P9709	2018-03-26	-.004031	-.001031	.012580	.011207	-.016823	-.018196
P9710	2018-03-26	-.004031	-.001031	.012122	.010857	-.016685	-.018059
P9705	2018-03-23	-.059031	-.059031	-.011324	-.009352	.002422	.002137
P9706	2018-03-23	-.034031	-.037031	-.020652	-.019591	.003830	.006248
P9707	2018-03-23	-.032031	-.032031	.004818	.005080	.000373	.002289
P9709	2018-03-23	-.036031	-.039031	-.022188	-.021063	.005696	.008284
P9710	2018-03-23	-.036031	-.039031	-.021650	-.020637	.005494	.007948
P9705	2018-03-22	-.003031	-.000031	.009626	.009271	-.002255	-.001193
P9706	2018-03-22	-.006031	-.006031	.010384	.009211	-.001661	-.002219
P9707	2018-03-22	-.002031	-.001031	.007265	.007113	-.000702	-.000701
P9709	2018-03-22	-.006031	-.006031	.009758	.008900	-.001364	-.001859
P9710	2018-03-22	-.006031	-.005031	.009672	.008773	-.001332	-.001889
P9705	2018-03-21	-.017031	-.017031	.006438	.008216	.002262	.001892
P9706	2018-03-21	-.004031	-.004031	.001910	.002543	-.000218	.001026
